Swedish,in English
som,as
jag,I
hans,his
att,that
han,he
var,was
för,for
på,on
är,are
med,with
de,they
vara,be
vid,at
ett,one
ha,have
detta,this
från,from
genom,by
het,hot
ord,word
men,but
vad,what
några,some
är,is
den,it
du,you
eller,or
hade,had
den,the
av,of
till,to
och,and
en,a
i,in
vi,we
kan,can
ut,out
andra,other
var,were
vilken,which
göra,do
deras,their
tid,time
om,if
kommer,will
hur,how
sa,said
ett,an
varje,each
berätta,tell
gör,does
uppsättning,set
tre,three
vill,want
luft,air
väl,well
också,also
spela,play
liten,small
ände,end
sätta,put
hem,home
läsa,read
sidan,hand
port,port
stor,large
stava,spell
lägg,add
även,even
mark,land
här,here
must,must
stor,big
hög,high
sådan,such
följ,follow
handling,act
varför,why
be,ask
män,men
förändring,change
gick,went
ljus,light
slag,kind
off,off
behöver,need
hus,house
bilden,picture
försök,try
oss,us
igen,again
djur,animal
punkt,point
mor,mother
världen,world
nära,near
bygga,build
själv,self
jord,earth
far,father